Grid reference,Location,Sample,Date,Time (h),Trimetoprim (ug/L),Oxytetracyclin (ug/L),Ofloxacin (ug/L),Norfloxacin (ug/L),Oseltamivir (ug/L),Ciprofloxacin (ug/L),Naphazoline (ug/L),Azithromycin (ug/L,Cefotaxime (ug/L),Doxycyclin (ug/L),Sulfamethoxazole (ug/L),Oxymetazoline (ug/L),Erythromycin (ug/L),Xylometazoline (ug/L),Clarithromycin (ug/L)
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,23:00,149.91,29.56,,46.45,738.98,25.34,,48.56,,621.44,161.17,,,,169.61
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,00:00,148.85,28.94,37.21,,792.49,35.15,,55.82,,458.27,113.02,,330.78,,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,01:00,165.48,77.42,34.84,,885.45,233.22,,,,21.29,137.41,,541.92,,251.6
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,02:00,128.2,,,,712.75,,,66.33,,146.38,24.87,,,,210.48
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,03:00,130.51,26.48,,43.5,643.09,,,71.87,,180.32,105.29,,576.89,,186.62
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,04:00,132.73,28.04,,39.26,704.15,28.04,,,,381.99,126.5,28.04,523.44,28.04,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,05:00,120.08,,,,541.92,25.86,,,,247.56,104.07,,406.44,,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,06:00,104.69,,,,473.59,35.52,,61.69,,164.51,,,355.19,,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,07:00,135.48,,,,851.58,49.35,,44.51,,550.95,114.19,,,,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,08:00,201.13,,,49.31,882.37,,,,,361.6,219.73,,666.1,,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,09:00,211.12,106.43,69.79,,1125.4,283.53,,,,43.62,197.16,,793.89,,302.72
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,10:00,185.56,,51.9,57.09,882.37,,,,,120.24,,,674.76,,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,11:00,169.35,,,,717.72,,,,,198.38,,,556.43,,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,12:00,160.86,,,,885.89,,,,,163.19,147.65,,501.23,,156.2
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,13:00,160.11,,,,625.2,50.32,,59.47,,208.53,119.7,,457.46,,121.99
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,14:00,153.27,,,,696.02,53.31,,,,432.42,145.5,37.76,466.48,,
SP 54333 02084,Oxford WWTP,Effluent,11/11/2009,15:00,163.81,47.42,30.17,,725.63,,,,,118.54,,,517.28,,130.4
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,10:00,0.102,0.117,,,,0.109,0.001,0.074,,0.024,,,0.142,,0.031
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,11:00,0.134,0.146,,,,0.11,0.001,0.056,,0.036,0.01,,0.174,,0.036
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,12:00,0.102,0.132,,,,0.1,,0.055,,0.026,,,0.136,,0.027
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,13:00,0.098,0.107,,,,0.101,,0.058,,0.006,,,0.126,,0.026
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,14:00,0.147,0.182,,,,0.135,0.001,0.066,,0.036,0.009,,0.179,,0.033
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,15:00,0.117,0.154,,,,0.11,,0.055,,0.01,,,0.139,,0.026
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,16:00,0.121,0.155,,,,0.109,0.002,0.054,,0.026,,,0.156,,0.028
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,17:00,0.14,0.177,,,,0.108,0.001,0.051,,0.019,0.013,,0.2,,0.031
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,18:00,0.234,0.288,,,,0.17,0.003,0.06,,0.042,0.007,,0.349,,0.055
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,19:00,0.169,0.229,,,,0.118,0.001,0.035,,0.025,,,0.242,,0.042
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,20:00,0.227,0.321,,,,0.173,,0.049,,0.054,,,0.334,,0.063
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,21:00,0.135,0.182,,,,0.13,0.001,0.051,,0.03,,,0.228,,0.052
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,22:00,0.159,0.309,,,,0.16,0.002,0.02,,0.039,0.009,,0.302,,0.064
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,23:00,0.18,0.381,,,,0.168,0.003,0.028,,0.057,,,0.331,,0.075
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,00:00,0.181,0.368,,,,0.169,0.002,0.028,,0.01,0.007,,0.346,,0.076
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,01:00,0.143,0.265,,,,0.13,0.002,0.02,,0.024,0.014,,0.265,,0.059
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,02:00,0.244,0.732,0.011,,,0.251,0.004,0.03,,0.042,0.02,,0.471,,0.102
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,03:00,0.146,0.299,,,,0.133,0.001,0.021,,0.018,,,0.287,,0.057
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,04:00,0.166,0.466,,,,0.171,0.004,0.026,,0.034,0.011,,0.339,,0.07
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,05:00,0.237,0.499,,,,0.244,0.002,0.03,,0.039,0.018,,0.504,,0.089
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,06:00,0.16,0.436,0.009,,,0.164,0.001,0.034,,0.019,0.014,,0.31,,0.058
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,07:00,0.168,0.373,,,,0.173,0.001,0.026,,0.027,0.027,,0.344,,0.059
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,08:00,0.151,0.398,,,,0.159,0.001,0.033,,0.034,0.015,,0.323,,0.062
SU 62066 90520,Benson WWTP,Effluent,11/05/2011,09:00,0.141,0.297,,,,0.138,0.002,0.023,,0.032,0.014,,0.271,,0.049
